"source_url"	"tecapi_vector_ids"	"tecapi_vector_names"
"http://capec.mitre.org/data/definitions/122.html"	"69,122"	"Authorization Bypass via Forced Browsing; Generic User Account Privilege Abuse"
"http://capec.mitre.org/data/definitions/127.html"	"254"	"Directory Listing"
"http://capec.mitre.org/data/definitions/133.html"	"80"	"Secret Argument Modification"
"http://capec.mitre.org/data/definitions/135.html"	"20"	"Format String Injection"
"http://capec.mitre.org/data/definitions/136.html"	"19"	"LDAP Injection"
"http://capec.mitre.org/data/definitions/138.html"	"29"	"Reflection Injection"
"http://capec.mitre.org/data/definitions/147.html"	"256"	"Resource Exhaustion"
"http://capec.mitre.org/data/definitions/148.html"	"104"	"Content Spoofing"
"http://capec.mitre.org/data/definitions/162.html"	"54,56"	"Client-Controlled Price Manipulation; Client-Controlled Quantity Manipulation"
"http://capec.mitre.org/data/definitions/168.html"	"35"	"Windows DATA ADS"
"http://capec.mitre.org/data/definitions/17.html"	"115"	"Malicious File Upload"
"http://capec.mitre.org/data/definitions/174.html"	"99"	"Flash Parameter Injection"
"http://capec.mitre.org/data/definitions/178.html"	"100"	"XSF"
"http://capec.mitre.org/data/definitions/18.html"	"94"	"XSS"
"http://capec.mitre.org/data/definitions/183.html"	"22,23"	"IMAP Injection; SMTP Injection"
"http://capec.mitre.org/data/definitions/193.html"	"43"	"PHP Remote File Inclusion"
"http://capec.mitre.org/data/definitions/194.html"	"96"	"Unvalidated Redirect"
"http://capec.mitre.org/data/definitions/196.html"	"139"	"Predictable Session Identifier Abuse"
"http://capec.mitre.org/data/definitions/197.html"	"250"	"XML Bomb"
"http://capec.mitre.org/data/definitions/2.html"	"118"	"Account Lockout Abuse"
"http://capec.mitre.org/data/definitions/20.html"	"169,170,191,192"	"Inadequate Storage Encryption Key Strength; Insecure Storage Cryptographic Algorithm; Weak Cipher Brute Forcing; Weak SSL Key-Pair Brute Forcing"
"http://capec.mitre.org/data/definitions/201.html"	"51"	"XXE"
"http://capec.mitre.org/data/definitions/205.html"	"173,174"	"Hard-coded Credentials; Hard-coded Cryptographic Key"
"http://capec.mitre.org/data/definitions/215.html"	"167"	"Sensitive Information Disclosure in Log Files"
"http://capec.mitre.org/data/definitions/219.html"	"265"	"XML Routing Detour"
"http://capec.mitre.org/data/definitions/226.html"	"139"	"Predictable Session Identifier Abuse"
"http://capec.mitre.org/data/definitions/228.html"	"84"	"Remote XSL Inclusion"
"http://capec.mitre.org/data/definitions/232.html"	"122"	"Generic User Account Privilege Abuse"
"http://capec.mitre.org/data/definitions/246.html"	"98"	"Flash XSS"
"http://capec.mitre.org/data/definitions/25.html"	"245"	"Forced Deadlock"
"http://capec.mitre.org/data/definitions/250.html"	"30"	"XML Injection"
"http://capec.mitre.org/data/definitions/256.html"	"223"	"SOAP Array Overflow"
"http://capec.mitre.org/data/definitions/26.html"	"243"	"Generic Race Condition within a Thread"
"http://capec.mitre.org/data/definitions/263.html"	"116"	"Unrestricted File Upload"
"http://capec.mitre.org/data/definitions/27.html"	"241"	"Link Following Race Condition"
"http://capec.mitre.org/data/definitions/273.html"	"103"	"HTTP Response Smuggling"
"http://capec.mitre.org/data/definitions/274.html"	"71,72"	"Authentication Bypass via HTTP Verb Tampering; Authorization Bypass via HTTP Verb Tampering"
"http://capec.mitre.org/data/definitions/29.html"	"231,235"	"TOCTTOU File Access Race Condition; TOCTTOU Transaction Race Condition"
"http://capec.mitre.org/data/definitions/33.html"	"50"	"HTTP Request Smuggling"
"http://capec.mitre.org/data/definitions/34.html"	"101"	"HTTP Response Splitting"
"http://capec.mitre.org/data/definitions/367.html"	"79"	"Predictable Resource Location Enumeration"
"http://capec.mitre.org/data/definitions/37.html"	"173,174"	"Hard-coded Credentials; Hard-coded Cryptographic Key"
"http://capec.mitre.org/data/definitions/4.html"	"66"	"Authentication Bypass via Alternative IP Access"
"http://capec.mitre.org/data/definitions/46.html"	"221"	"Buffer Overflow against Custom Browser Controls"
"http://capec.mitre.org/data/definitions/460.html"	"138"	"HPP"
"http://capec.mitre.org/data/definitions/463.html"	"176"	"Padding Oracle"
"http://capec.mitre.org/data/definitions/466.html"	"202"	"MITM"
"http://capec.mitre.org/data/definitions/471.html"	"121"	"Remote Binary Planting"
"http://capec.mitre.org/data/definitions/488.html"	"255"	"HTTP Flood"
"http://capec.mitre.org/data/definitions/49.html"	"203"	""
"http://capec.mitre.org/data/definitions/499.html"	"273"	"Intent Intercept"
"http://capec.mitre.org/data/definitions/50.html"	"156,158,208"	"Insecure Password Recovery Initiation Destination; Weak Recovery Answer Enumeration; Weak Recovery Question Selection"
"http://capec.mitre.org/data/definitions/500.html"	"272"	"WebView Injection"
"http://capec.mitre.org/data/definitions/502.html"	"274"	"Intent Spoof"
"http://capec.mitre.org/data/definitions/52.html"	"21"	"Null-Byte Injection"
"http://capec.mitre.org/data/definitions/57.html"	"202"	"MITM"
"http://capec.mitre.org/data/definitions/59.html"	"139"	"Predictable Session Identifier Abuse"
"http://capec.mitre.org/data/definitions/60.html"	"201"	"Session Replay"
"http://capec.mitre.org/data/definitions/61.html"	"120"	"Session Fixation"
"http://capec.mitre.org/data/definitions/64.html"	"42"	"Reverse Proxy Bypass"
"http://capec.mitre.org/data/definitions/66.html"	"1"	"SQL Injection"
"http://capec.mitre.org/data/definitions/67.html"	"20"	"Format String Injection"
"http://capec.mitre.org/data/definitions/68.html"	"175"	"Missing Required Cryptographic Step"
"http://capec.mitre.org/data/definitions/70.html"	"203"	""
"http://capec.mitre.org/data/definitions/74.html"	"57,58,60"	"Client-Controlled Authentication Status Manipulation; Client-Controlled Multiphase Process State Flags Manipulation; Client-Controlled User Identifier Manipulation"
"http://capec.mitre.org/data/definitions/76.html"	"40,41"	"Path Manipulation; Path Traversal"
"http://capec.mitre.org/data/definitions/77.html"	"61,63"	"Client-Controlled Configuration Setting Manipulation; Client-Controlled Lock Counter Manipulation"
"http://capec.mitre.org/data/definitions/81.html"	"105"	"Log Forging"
"http://capec.mitre.org/data/definitions/83.html"	"32"	"XPATH Injection"
"http://capec.mitre.org/data/definitions/84.html"	"31"	"XQUERY Injection"
"http://capec.mitre.org/data/definitions/88.html"	"18"	"OS Command Injection"
"http://capec.mitre.org/data/definitions/92.html"	"230"	"Integer Overflow"
"http://capec.mitre.org/data/definitions/94.html"	"202"	"MITM"
"http://carnal0wnage.attackresearch.com/2007/07/web-based-directory-enumeration.html"	"206"	"Dir and File Brute Forcing"
"http://carnal0wnage.attackresearch.com/2012/05/from-low-to-pwned-7-http.html"	"124"	"HTTP PUT Attack"
"http://cdn2.hubspot.net/hub/315719/file-1344244110-pdf/download-files/Bypassing_VBAAC_with_HTTP_Verb_Tampering.pdf?t=1418139099508"	"71"	"Authentication Bypass via HTTP Verb Tampering"
"http://chaptersinwebsecurity.blogspot.co.il/2010/11/universal-http-dos-are-you-dead-yet.html"	"248"	"HTTP Fragmentation Attack"
"http://clawslab.nds.rub.de/wiki/index.php/XML_Generic_Entity_Expansion"	"250"	"XML Bomb"
"http://conference.hackinthebox.org/hitbsecconf2010kul/materials/D2T2 - Mitja Kolsek - Remote Binary Planting.pdf"	"121"	"Remote Binary Planting"
"http://cookies.lcs.mit.edu/seq_sessionid.html"	"139"	"Predictable Session Identifier Abuse"
"http://cryptanalysis.eu/blog/2011/12/28/effective-dos-attacks-against-web-application-plattforms-hashdos/"	"253"	"Hash Collision DoS"
"http://crypto.stanford.edu/dns/"	"114"	"DNS Rebinding"
"http://crypto.stanford.edu/dns/dns-rebinding.pdf"	"114"	"DNS Rebinding"
"http://crypto.stanford.edu/~dabo/papers/webtiming.pdf"	"233"	"Cross-Domain Search Timing"
"http://cs.ucsb.edu/~bboe/public/pubs/fear-the-ear-ccs2011.pdf"	"93"	"Execution After Redirect"
"http://cwe.mitre.org/data/definitions/113.html"	"101"	"HTTP Response Splitting"
"http://cwe.mitre.org/data/definitions/117.html"	"94,105"	"Log Forging; XSS"
"http://cwe.mitre.org/data/definitions/120.html"	"220"	"Buffer Overflow"
"http://cwe.mitre.org/data/definitions/121.html"	"220"	"Buffer Overflow"
"http://cwe.mitre.org/data/definitions/124.html"	"228"	"Buffer Underwrite"
"http://cwe.mitre.org/data/definitions/127.html"	"228"	"Buffer Underwrite"
"http://cwe.mitre.org/data/definitions/128.html"	"230"	"Integer Overflow"
"http://cwe.mitre.org/data/definitions/134.html"	"20"	"Format String Injection"
"http://cwe.mitre.org/data/definitions/141.html"	"34"	"Special Element Injection"
"http://cwe.mitre.org/data/definitions/147.html"	"22"	"SMTP Injection"
"http://cwe.mitre.org/data/definitions/15.html"	"63"	"Client-Controlled Configuration Setting Manipulation"
"http://cwe.mitre.org/data/definitions/158.html"	"21"	"Null-Byte Injection"
"http://cwe.mitre.org/data/definitions/170.html"	"21"	"Null-Byte Injection"
"http://cwe.mitre.org/data/definitions/177.html"	"42"	"Reverse Proxy Bypass"
"http://cwe.mitre.org/data/definitions/190.html"	"230"	"Integer Overflow"
"http://cwe.mitre.org/data/definitions/203.html"	"161,162,163,164"	"Generic Username Enumeration; Username Enumeration in Login; Username Enumeration in Password Recovery; Username Enumeration in Registration"
"http://cwe.mitre.org/data/definitions/204.html"	"161,162,163,164"	"Generic Username Enumeration; Username Enumeration in Login; Username Enumeration in Password Recovery; Username Enumeration in Registration"
"http://cwe.mitre.org/data/definitions/206.html"	"161,162,163,164"	"Generic Username Enumeration; Username Enumeration in Login; Username Enumeration in Password Recovery; Username Enumeration in Registration"
"http://cwe.mitre.org/data/definitions/208.html"	"233"	"Cross-Domain Search Timing"
"http://cwe.mitre.org/data/definitions/235.html"	"138"	"HPP"
"http://cwe.mitre.org/data/definitions/259.html"	"174"	"Hard-coded Credentials"
"http://cwe.mitre.org/data/definitions/261.html"	"170"	"Insecure Storage Cryptographic Algorithm"
"http://cwe.mitre.org/data/definitions/269.html"	"122"	"Generic User Account Privilege Abuse"
"http://cwe.mitre.org/data/definitions/272.html"	"122"	"Generic User Account Privilege Abuse"
"http://cwe.mitre.org/data/definitions/283.html"	"53"	"Insecure Direct Object Reference"
"http://cwe.mitre.org/data/definitions/285.html"	"69"	"Authorization Bypass via Forced Browsing"
"http://cwe.mitre.org/data/definitions/287.html"	"57,58,68"	"Authentication Bypass via Forced Browsing; Client-Controlled Authentication Status Manipulation; Client-Controlled User Identifier Manipulation"
"http://cwe.mitre.org/data/definitions/288.html"	"67"	"Authentication Bypass using an Alternate Path or Channel"
"http://cwe.mitre.org/data/definitions/289.html"	"67"	"Authentication Bypass using an Alternate Path or Channel"
"http://cwe.mitre.org/data/definitions/290.html"	"64,65"	"Authentication Bypass via IP Spoofing; Authentication Bypass via Referer Spoofing"
"http://cwe.mitre.org/data/definitions/291.html"	"65"	"Authentication Bypass via IP Spoofing"
"http://cwe.mitre.org/data/definitions/293.html"	"64"	"Authentication Bypass via Referer Spoofing"
"http://cwe.mitre.org/data/definitions/294.html"	"201"	"Session Replay"
"http://cwe.mitre.org/data/definitions/295.html"	"196"	"Stolen Expired Certificate Abuse"
"http://cwe.mitre.org/data/definitions/296.html"	"199"	"Broken Chain-of-Trust Certificate Abuse"
"http://cwe.mitre.org/data/definitions/297.html"	"198,200"	"Endpoint Impersonation in an Encrypted Communication Channel; Valid Certificate Abuse for Another Domain"
"http://cwe.mitre.org/data/definitions/298.html"	"196"	"Stolen Expired Certificate Abuse"
"http://cwe.mitre.org/data/definitions/299.html"	"197"	"Stolen Revoked Certificate Abuse"
"http://cwe.mitre.org/data/definitions/300.html"	"202"	"MITM"
"http://cwe.mitre.org/data/definitions/302.html"	"58"	"Client-Controlled Authentication Status Manipulation"
"http://cwe.mitre.org/data/definitions/311.html"	"168,187"	"Missing Encryption of Sensitive Data; Unencrypted Communication Eavesdropping"
"http://cwe.mitre.org/data/definitions/319.html"	"190"	"Session Hijacking"
"http://cwe.mitre.org/data/definitions/321.html"	"173"	"Hard-coded Cryptographic Key"
"http://cwe.mitre.org/data/definitions/322.html"	"200"	"Endpoint Impersonation in an Encrypted Communication Channel"
"http://cwe.mitre.org/data/definitions/324.html"	"195,196"	"Expired SSL Certificate; Stolen Expired Certificate Abuse"
"http://cwe.mitre.org/data/definitions/325.html"	"175"	"Missing Required Cryptographic Step"
"http://cwe.mitre.org/data/definitions/326.html"	"169"	"Inadequate Storage Encryption Key Strength"
"http://cwe.mitre.org/data/definitions/327.html"	"170"	"Insecure Storage Cryptographic Algorithm"
"http://cwe.mitre.org/data/definitions/328.html"	"171,172"	"Insecure Credential Hashing Algorithm; Unsalted Hash"
"http://cwe.mitre.org/data/definitions/330.html"	"139"	"Predictable Session Identifier Abuse"
"http://cwe.mitre.org/data/definitions/345.html"	"106"	"JSON Hijacking"
"http://cwe.mitre.org/data/definitions/347.html"	"175"	"Missing Required Cryptographic Step"
"http://cwe.mitre.org/data/definitions/350.html"	"114"	"DNS Rebinding"
"http://cwe.mitre.org/data/definitions/352.html"	"108"	"CSRF"
"http://cwe.mitre.org/data/definitions/363.html"	"241"	"Link Following Race Condition"
"http://cwe.mitre.org/data/definitions/364.html"	"238"	"Single Handler Race Condition"
"http://cwe.mitre.org/data/definitions/365.html"	"239"	"Switch-Case Race Condition"
"http://cwe.mitre.org/data/definitions/366.html"	"243"	"Generic Race Condition within a Thread"
"http://cwe.mitre.org/data/definitions/367.html"	"231,235"	"TOCTTOU File Access Race Condition; TOCTTOU Transaction Race Condition"
"http://cwe.mitre.org/data/definitions/368.html"	"234"	"Context Switching Race Condition"
"http://cwe.mitre.org/data/definitions/370.html"	"197"	"Stolen Revoked Certificate Abuse"
"http://cwe.mitre.org/data/definitions/384.html"	"120"	"Session Fixation"
"http://cwe.mitre.org/data/definitions/400.html"	"256"	"Resource Exhaustion"
"http://cwe.mitre.org/data/definitions/401.html"	"225"	"Memory Leak"
"http://cwe.mitre.org/data/definitions/41.html"	"67"	"Authentication Bypass using an Alternate Path or Channel"
"http://cwe.mitre.org/data/definitions/410.html"	"246"	"Database Connection Pool Consumption"
"http://cwe.mitre.org/data/definitions/412.html"	"245"	"Forced Deadlock"
"http://cwe.mitre.org/data/definitions/415.html"	"224"	"Double Free"
"http://cwe.mitre.org/data/definitions/416.html"	"222"	"Use After Free"
"http://cwe.mitre.org/data/definitions/421.html"	"240"	"Alternate Channel Race Condition"
"http://cwe.mitre.org/data/definitions/427.html"	"121"	"Remote Binary Planting"
"http://cwe.mitre.org/data/definitions/434.html"	"115"	"Malicious File Upload"
"http://cwe.mitre.org/data/definitions/436.html"	"103"	"HTTP Response Smuggling"
"http://cwe.mitre.org/data/definitions/441.html"	"42"	"Reverse Proxy Bypass"
"http://cwe.mitre.org/data/definitions/444.html"	"50"	"HTTP Request Smuggling"
"http://cwe.mitre.org/data/definitions/451.html"	"111"	"Clickjacking"
"http://cwe.mitre.org/data/definitions/472.html"	"53,54,55"	"Client-Controlled Price Manipulation; Client-Controlled Sum Abuse; Insecure Direct Object Reference"
"http://cwe.mitre.org/data/definitions/473.html"	"43,117"	"PHP Remote File Inclusion; PHP Uploaded File Variables Abuse"
"http://cwe.mitre.org/data/definitions/476.html"	"226"	"Null Dereference"
"http://cwe.mitre.org/data/definitions/488.html"	"236"	"Member Field Race Condition"
"http://cwe.mitre.org/data/definitions/514.html"	"176"	"Padding Oracle"
"http://cwe.mitre.org/data/definitions/521.html"	"204"	"Weak Password Policy"
"http://cwe.mitre.org/data/definitions/522.html"	"168"	"Missing Encryption of Sensitive Data"
"http://cwe.mitre.org/data/definitions/523.html"	"189"	"Credentials Eavesdropping from Unencrypted Channel"
"http://cwe.mitre.org/data/definitions/530.html"	"78"	"Enumeration of Obsolete and Unreferenced Files"
"http://cwe.mitre.org/data/definitions/532.html"	"167"	"Sensitive Information Disclosure in Log Files"
"http://cwe.mitre.org/data/definitions/543.html"	"236"	"Member Field Race Condition"
"http://cwe.mitre.org/data/definitions/548.html"	"254"	"Directory Listing"
"http://cwe.mitre.org/data/definitions/552.html"	"78,79"	"Enumeration of Obsolete and Unreferenced Files; Predictable Resource Location Enumeration"
"http://cwe.mitre.org/data/definitions/564.html"	"3"	"HQL Injection"
"http://cwe.mitre.org/data/definitions/567.html"	"245"	"Forced Deadlock"
"http://cwe.mitre.org/data/definitions/590.html"	"229"	"User Controlled Memory Pointer Reference"
"http://cwe.mitre.org/data/definitions/601.html"	"96"	"Unvalidated Redirect"
"http://cwe.mitre.org/data/definitions/611.html"	"51"	"XXE"
"http://cwe.mitre.org/data/definitions/613.html"	"217"	"Insufficient Session Expiration"
"http://cwe.mitre.org/data/definitions/616.html"	"117"	"PHP Uploaded File Variables Abuse"
"http://cwe.mitre.org/data/definitions/624.html"	"16"	"PHP preg_replace Abuse"
"http://cwe.mitre.org/data/definitions/639.html"	"53"	"Insecure Direct Object Reference"
"http://cwe.mitre.org/data/definitions/640.html"	"156,158,165,208"	"Insecure Password Recovery Initiation Destination; Password Disclosure in Password Recovery; Weak Recovery Answer Enumeration; Weak Recovery Question Selection"
"http://cwe.mitre.org/data/definitions/643.html"	"32"	"XPATH Injection"
"http://cwe.mitre.org/data/definitions/645.html"	"118"	"Account Lockout Abuse"
"http://cwe.mitre.org/data/definitions/650.html"	"124"	"HTTP PUT Attack"
"http://cwe.mitre.org/data/definitions/651.html"	"263"	"WSDL Disclosure"
"http://cwe.mitre.org/data/definitions/662.html"	"245"	"Forced Deadlock"
"http://cwe.mitre.org/data/definitions/680.html"	"230"	"Integer Overflow"
"http://cwe.mitre.org/data/definitions/689.html"	"242"	"Permission Race Condition During Resource Copy"
"http://cwe.mitre.org/data/definitions/69.html"	"35"	"Windows DATA ADS"
"http://cwe.mitre.org/data/definitions/690.html"	"226"	"Null Dereference"
"http://cwe.mitre.org/data/definitions/691.html"	"70"	"Multiphase Process Bypass via Forced Browsing"
"http://cwe.mitre.org/data/definitions/73.html"	"40,41,44"	"PHP Local File Inclusion; Path Manipulation; Path Traversal"
"http://cwe.mitre.org/data/definitions/75.html"	"34"	"Special Element Injection"
"http://cwe.mitre.org/data/definitions/76.html"	"34"	"Special Element Injection"
"http://cwe.mitre.org/data/definitions/762.html"	"229"	"User Controlled Memory Pointer Reference"
"http://cwe.mitre.org/data/definitions/770.html"	"276"	"Over-sized XML DoS"
"http://cwe.mitre.org/data/definitions/776.html"	"250"	"XML Bomb"
"http://cwe.mitre.org/data/definitions/778.html"	"159"	"Insufficient Logging Abuse"
"http://cwe.mitre.org/data/definitions/779.html"	"123"	"Logging of Excessive Data"
"http://cwe.mitre.org/data/definitions/78.html"	"18"	"OS Command Injection"
"http://cwe.mitre.org/data/definitions/785.html"	"41"	"Path Manipulation"
"http://cwe.mitre.org/data/definitions/79.html"	"94,95"	"DOM XSS; XSS"
"http://cwe.mitre.org/data/definitions/798.html"	"174"	"Hard-coded Credentials"
"http://cwe.mitre.org/data/definitions/80.html"	"94"	"XSS"
"http://cwe.mitre.org/data/definitions/804.html"	"141,142,143,144,145,146,147,148,149"	"Arithmetic CAPTCHA Abuse; CAPTCHA Fixation; CAPTCHA Rainbow Tables; Chosen CAPTCHA Identifier Abuse; Chosen CAPTCHA Text Abuse; Client-side CAPTCHA Logic Abuse; In-Session CAPTCHA Brute-forcing; Limited CAPTCHA Repository Abuse; OCR-assisted CAPTCHA Brute-forcing"
"http://cwe.mitre.org/data/definitions/807.html"	"59"	"Client-Controlled Privilege Manipulation"
"http://cwe.mitre.org/data/definitions/825.html"	"227"	"Expired Pointer Dereference"
"http://cwe.mitre.org/data/definitions/828.html"	"238"	"Single Handler Race Condition"
"http://cwe.mitre.org/data/definitions/841.html"	"70"	"Multiphase Process Bypass via Forced Browsing"
"http://cwe.mitre.org/data/definitions/863.html"	"59,251"	"Client Controlled Action Type Manipulation via Parameter Tampering; Client-Controlled Privilege Manipulation"
"http://cwe.mitre.org/data/definitions/88.html"	"80"	"Secret Argument Modification"
"http://cwe.mitre.org/data/definitions/89.html"	"1"	"SQL Injection"
"http://cwe.mitre.org/data/definitions/90.html"	"19"	"LDAP Injection"
"http://cwe.mitre.org/data/definitions/91.html"	"30"	"XML Injection"
"http://cwe.mitre.org/data/definitions/915.html"	"49"	"MVC Mass Assignment"
"http://cwe.mitre.org/data/definitions/917.html"	"36"	"EL Injection"
"http://cwe.mitre.org/data/definitions/918.html"	"48"	"SSRF"
"http://cwe.mitre.org/data/definitions/923.html"	"200"	"Endpoint Impersonation in an Encrypted Communication Channel"
"http://cwe.mitre.org/data/definitions/925.html"	"274"	"Intent Spoof"
"http://cwe.mitre.org/data/definitions/926.html"	"274"	"Intent Spoof"
"http://cwe.mitre.org/data/definitions/927.html"	"273"	"Intent Intercept"
"http://cwe.mitre.org/data/definitions/94.html"	"10,13"	"PHP Injection; Perl Injection"
"http://cwe.mitre.org/data/definitions/96.html"	"10"	"PHP Injection"
"http://cwe.mitre.org/data/definitions/97.html"	"5"	"SSI Injection"
"http://cwe.mitre.org/data/definitions/98.html"	"43"	"PHP Remote File Inclusion"
"http://cwe.mitre.org/data/definitions/99.html"	"53"	"Insecure Direct Object Reference"
"http://danamodio.com/application-security/discoveries/spring-remote-code-with-expression-language-injection/"	"36"	"EL Injection"
"http://deadliestwebattacks.com/2010/05/18/cross-site-tracing-xst-the-misunderstood-vulnerability/"	"126"	"XST"
"http://demo.testfire.net/vulnerable.swf"	"100"	"XSF"
"http://doc.cenzic.com/sadoc9x14ba847/CPL0001023.htm"	"254"	"Directory Listing"
"http://doc.cenzic.com/sadoc9x14ba847/CPL0001409.htm"	"207"	"Ineffective Session Termination"
"http://dunnesec.com/category/attacks-defence/reflected-file-download-rfd/"	"102"	"RFD"
"http://en.wikipedia.org/wiki/BREACH_(security_exploit)"	"182"	"BREACH"
"http://en.wikipedia.org/wiki/Billion_laughs"	"250"	"XML Bomb"
"http://en.wikipedia.org/wiki/Brute-force_attack"	"203"	""
"http://en.wikipedia.org/wiki/Buffer_overflow"	"220"	"Buffer Overflow"
"http://en.wikipedia.org/wiki/Buffer_underrun"	"228"	"Buffer Underwrite"
"http://en.wikipedia.org/wiki/CAPTCHA#Insecure_implementation"	"141"	"Client-side CAPTCHA Logic Abuse"
"http://en.wikipedia.org/wiki/CRIME"	"180"	"CRIME"
"http://en.wikipedia.org/wiki/Clickjacking"	"111"	"Clickjacking"
"http://en.wikipedia.org/wiki/Code_injection#Dynamic_evaluation_vulnerabilities"	"10"	"PHP Injection"
"http://en.wikipedia.org/wiki/Code_injection#Object_injection"	"15"	"PHP Object Injection"
"http://en.wikipedia.org/wiki/Code_injection#Shell_injection"	"18"	"OS Command Injection"
"http://en.wikipedia.org/wiki/Cross-site_request_forgery"	"108"	"CSRF"
"http://en.wikipedia.org/wiki/Cross-site_scripting#Non-persistent"	"94"	"XSS"
"http://en.wikipedia.org/wiki/Cross-site_scripting#Persistent"	"94"	"XSS"
"http://en.wikipedia.org/wiki/Cross-site_scripting#Server-side_versus_DOM-based_vulnerabilities"	"95"	"DOM XSS"
"http://en.wikipedia.org/wiki/Cross-site_tracing"	"126"	"XST"
"http://en.wikipedia.org/wiki/DNS_rebinding"	"114"	"DNS Rebinding"
